1:24 | (New member) Lạc Lạc: Bea is only 10 mins late??? How???
1:25 | (Member (1 month)) Cave Johnson: 33 watching, where did the other 100 go
1:52 | (Member (1 month)) OverMagnet: Susan hate.
1:54 | (New member) RussianAnimeBot: susan :_away:
1:56 | Sheep: in the youtube shadow realm
1:58 | (Member (1 month)) Margrave: They never existed. :_pain::_meds:
2:03 | (Member (1 month)) Tachi: :_listener:
2:05 | (New member) Herbie Cucumber: they were just here for the pre-stream chat experience
2:19 | Rybek: you dont leave after prestream end?
2:20 | (New member) Lạc Lạc: Do we even exist tho?
2:29 | (New member) RussianAnimeBot: she has been posting in the chat off and on a lot today
2:43 | (Member (1 month)) OverMagnet: How are you Dads doing?
2:45 | (New member) Yamoyashi: :_kita::_kita:
2:52 | (Member (1 month)) Rye Mountain: Is she maybe waiting for the :15 afterall?
2:57 | (Member (1 month)) Cave Johnson: oh...
2:57 | (New member) Ark K.: im doin fine
3:00 | (Member (1 month)) The Pope: Bad, Bea's not on yet
3:16 | (Member (1 month)) Stray Wolf: PPB? Power Point Bear
3:29 | (New member) RussianAnimeBot: i wonder if she tweeted about the stream
3:38 | pawkit: men in black can't do shit when greys are here
3:41 | (Member (1 month)) Tachi: :_oha::_dayo:
3:47 | (Member (1 month)) OverMagnet: :_meds::_away:and Bea will appear in front of you!
3:48 | (New member) Yamoyashi: this intro never gets old
3:51 | (Member (1 month)) Raziel: :_oha::_dayo:
3:52 | (Member (1 month)) BasedBug: :_oha: :_dayo: 
3:52 | (Member (1 month)) anonEDM: :_oha::_dayo:
3:53 | Sheep: ohadayo
3:54 | (Member (1 month)) Ekusupuroshon: :_oha::_dayo:
3:54 | madvideogamer: キタ━━━(゜∀゜)━━━ッ
3:54 | (Member (1 month)) ThatVidyaGuy: :_oha::_dayo:
3:54 | (Member (1 month)) Moeniki: :_kita:
3:54 | (Member (1 month)) Mister Eko: :_kita::_kita::_kita::_kita::_kita:
3:54 | (Member (1 month)) Transcendental_ColonThree: :_oha::_dayo:
3:55 | (New member) XenMaster220: :_oha::_dayo:
3:55 | (New member) Yamoyashi: :_oha::_dayo::_kita:
3:55 | (New member) Ark K.: oh my
3:56 | (Member (1 month)) Rye Mountain: :_oha::_dayo:
3:57 | (Member (1 month)) Zhnigo: :_oha::_dayo:
3:58 | (New member) Herbie Cucumber: :_oha::_dayo:
3:58 | (New member) Suukotto Funsha: :_oha::_dayo: Bea
3:59 | madvideogamer: hi beatani!!
3:59 | (Member (1 month)) Mister Eko: :_oha::_dayo:
3:59 | (Member (1 month)) The Pope: :_oha::_dayo:
3:59 | (Member (1 month)) The Flesh Is Weak: :_oha::_dayo:
4:00 | (Member (1 month)) Hanabi: :_oha::_dayo:
4:00 | (Member (1 month)) Canna: Ohadayo! 
4:01 | (Member (1 month)) Margrave: :_oha::_dayo::_kita:
4:02 | Belphegor: ohadayo
4:02 | (Member (1 month)) max r: :_oha::_dayo:
4:02 | (New member) Ark K.: :_oha::_dayo:
4:02 | (Member (1 month)) Stray Wolf: :_oha::_dayo:
4:03 | (New member) Randel Shurker: Ohaidayo!
4:04 | stuffed idiot: おはだよ！
4:04 | (Member (1 month)) Einaer: :_oha::_dayo:
4:05 | (Member (1 month)) Cave Johnson: :_oha::_dayo:
4:05 | (Member (1 month)) OverMagnet: Right on time!
4:05 | Andrew Ryan: おはだよ
4:05 | (New member) Pine: :_oha::_dayo:
4:05 | (Member (1 month)) Transcendental_ColonThree: I MISSED YOU....
4:06 | (Member (1 month)) loveletter: :_oha::_dayo:
4:07 | (New member) Lạc Lạc: :_oha::_dayo:
4:07 | (Member (1 month)) Ekigo: :_oha::_dayo:
4:09 | (New member) TheNoOne: :_oha::_dayo:
4:09 | (New member) Pope Boi: :_oha::_dayo:
4:10 | (New member) RussianAnimeBot: :_oha::_dayo:
4:10 | (New member) Vitz: :_oha::_dayo:
4:10 | (Member (1 month)) Kyle: :_oha::_dayo:
4:10 | (New member) Autism: :_oha::_dayo:
4:11 | (Member (1 month)) Moeniki: :_oha::_dayo:
4:11 | Megumin: ohadayo!
4:11 | (New member) Luginov: :_oha::_dayo:
4:12 | (Member (1 month)) Zhnigo: I can't believe bea isn't muted
4:12 | (Member (1 month)) gyroninja: :_oha::_dayo:
4:13 | (Member (1 month)) Tianfang's Adventures: ha ha time for bear!
4:14 | (Member (1 month)) Steven Frati: :_oha::_dayo:
4:14 | (Member (1 month)) Stray Wolf: :_oha::_dayo:
4:14 | webm aristocrat: ohadayuohhh
4:15 | (Member (1 month)) Ekusupuroshon: :_oha::_dayo:
4:15 | (Member (1 month)) Margrave: No cave this time!
4:16 | SpaceTalon: my daughter is here LETS GOOOOOOOOOOOOOOOOO
4:17 | (New member) Lodowa Wrozka: :_oha::_dayo:
4:19 | (New member) WizJR W: :_oha: :_dayo: 
4:19 | Mizuki Arisu: Ohadayo
4:22 | (New member) Suukotto Funsha: Good Morning
4:23 | (Member (1 month)) OverMagnet: :_oha::_dayo::_bea::_bea::_love:
4:24 | Sheep: morning
4:24 | (New member) Herbie Cucumber: Bea you're 1 minute early!
4:26 | (New member) TheTarkus: :_oha::_dayo:
