1:55 | SkysNotTheLimit: 🐻🍀
1:57 | Rob G.: 🐻‍❄
2:05 | gyroninja: Woke up just in time
2:07 | A A: @Idle Bear I think that is new.
2:08 | Gamer: Cute and funny bear 
2:13 | Matthew Caballero: 🐻 🍀
2:14 | Zhnigo: 👁👁👁👁👁👁👁
2:14 | FATNEET: kawaii shy bear
2:15 | MBmasher: who wouldn't wanna watch
2:18 | yuuyuu: I love your voice!
2:20 | Apu 2: congrats on 1k beatan
2:20 | Aggressive Quack: Been hyped for this all week
2:23 | Rob G.: 大丈夫!
2:25 | ThePlatinumCan: がんばれ～！
2:27 | クラガリ葉月: 頑張れ
2:27 | フェットチーネ: がんばって
2:29 | Shippo: Beatani is on echo, is it on purpose?
2:31 | estratos13: kakoi bear, let's go
2:33 | KappaMikeyTSF: Yay, congrats on your growth!
2:34 | yuuyuu: ganbare!
2:35 | Mr. Bear ʕ•ᴥ•ʔ: I support fellow bears
2:36 | Shippo: 🧨🐻‍❄🧨
2:41 | Mr. Patata: Pog
2:42 | yuuyuu: 頑張れ!!!
2:50 | Stray Wolf: 🧨🐻‍❄🧨
2:50 | knowsur: リバーブはかかったままだけどいいの？
2:52 | yuuyuu: MACROSS
2:54 | D3bugged: yay macross frontier
2:55 | SkysNotTheLimit: 🧨🐻‍❄🧨
2:56 | KappaMikeyTSF: 🙌🙌🙌
3:01 | Aggressive Quack: Based 🐻
3:02 | Nanashi Nii: 🕯🐻🕯
3:04 | Rob G.: seikan hikou pog 🐻‍❄
3:04 | SpaceCrab: 🧨🐻‍❄🧨
3:05 | pakkanen: ❤❤❤
3:10 | max r: 🧨🐻‍❄🧨
3:11 | Thundercat 77: 🕯🐻🕯
3:12 | ThePlatinumCan: 🧨🐻‍❄🧨
3:27 | Aggressive Quack: ❤
3:31 | XeniVari: 🧨🐻‍❄🧨
3:32 | Margrave: 🧨🐻‍❄🧨
3:33 | O5060403: 🧨🧨🧨
3:36 | Marploah: yay
3:36 | Apu 2: you doin good
3:38 | SkysNotTheLimit: 🧨🐻‍❄🧨
3:39 | Zhnigo: 🔦🐻🔦
3:39 | Rye Mountain: 🧨🐻‍❄🧨
3:42 | Kaiser Kebab: ❤❤❤
3:45 | Suukotto Funsha: 🧨🐻‍❄🧨
3:46 | Rob G.: kira~~!
3:49 | Hernan: 🧨🐻🧨
3:51 | ThePlatinumCan: Cute~
3:52 | Meneltir: 🧨🐻‍❄🧨
3:56 | Neoneon: 🧨🐻🧨
4:02 | Raziel: 🍰🧨🐻‍❄🧨
4:03 | Börk Börk: 🧨🐻‍❄🧨
4:13 | yuuyuu: ♥️♥️♥️
4:16 | Orange Princess: 🧨🐻‍❄🧨
4:19 | ChefHART: 🧨🐻‍❄🧨
4:20 | Powerful Cod: 🧨🐻‍❄🧨
4:22 | Megiddo: 🧨🐻‍❄🧨
4:22 | Darthclone2: 🧨🐻‍❄🧨
4:22 | max r: 🧨🐻🧨
4:24 | nicenature: ☄🐻☄
4:25 | Rye Mountain: 🧨🐻‍❄🧨
4:26 | Apu 2: based bear can into singing
4:27 | Rob G.: reverb 👌
4:27 | Jessica: 🧨🐻‍❄🧨
4:27 | ThePlatinumCan: 🧨🐻‍❄🧨
4:29 | Aggressive Quack: 🔥🐻 🔥
4:30 | O5060403: こんなにかわいい声で
4:31 | FATNEET: 🧨🐻‍❄🧨
4:33 | Vitz: ♥🐻‍❄♥
4:34 | MBmasher: 🧨🐻‍❄🧨
4:35 | Nanashi Nii: 🧨🐻🧨
4:36 | ChefHART: 🧨🐻‍❄🧨
4:54 | Gamer: When is the album coming out?
4:58 | Jubes: 🕯🐻‍❄️🕯
4:59 | Suukotto Funsha: cute and funny bear has a super cute singing voice
5:04 | Jessica: 🧨🐻‍❄🧨
5:04 | Orange Princess: 🔥🔥🔥🔥🔥🔥🔥🔥
5:05 | Rob G.: kira~!★
5:08 | Zhnigo: kira-
5:12 | Lagalith: 🧨🐻‍❄🧨
5:15 | Darthclone2: 🧨🐻‍❄🧨
5:17 | .sandrio: yah!
